ProductID,ProductCategory,ProductSubcategory,ProductGroup,ProductVendor,ProductName,ProductModel,ProductUnitCost,ProductUnitPrice,ProductWeight
15,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 109,25 DOUBLE SIDED PROSLEEVE,PSR50,3.73,4.5133,3
16,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 109,50 DOUBLE SIDED PROSLEEVE,PSR100,6.22,8.2104,4
17,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 109,CD WALLET,KSW128,16.78,23.3242,2
18,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 109,CD WALLET,KSW208,24.89,28.1257,5
19,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 109,CD WALLET - BLACK,CDY32B,6.84,9.5076,1
20,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 109,PLASTIC DVD TOWER,DVR15,6.22,6.9664,1
21,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 23,Digital Voice Recorder,ICRFP700D,103.95,122.661,1
22,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 23,HDR Table Top Radio,HDR1,163.9,183.568,2
23,ACCESSORIES,MISC ACCESSORIES,Audio Accessories,Vendor 23,Micro Cassette Recor,RP3538,29.15,35.2715,3
24,ACCESSORIES,MISC ACCESSORIES,Batteries,Vendor 199,LITHIUM ION RECHARGE BATT,200838,37.67,52.738,4
25,ACCESSORIES,MISC ACCESSORIES,Batteries,Vendor 30,8MM 1HR 40MIN BATTERY,AV800,21.31,31.1126,5
26,ACCESSORIES,MISC ACCESSORIES,Camera Accesories,Vendor 176,TRIPOD,TR64,20.42,26.3418,1
27,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 121,HP BANNER PAPER,C1820A,8.76,12.3516,1
28,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 243,COMPUTER PRINTER CABLE,9646,8.74,12.7604,2
29,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 243,POCKET CASE/PHONE CORD,PA200U,9.35,12.0615,1
30,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 243,USB CABLE,9701,2.52,2.898,1
31,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 267,RECORDABLE COMPACT DISC,32024514CP6,5.04,6.6024,5
32,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 267,REWRITEABLE COMPACT DISC,32023408,6.3,8.505,4
33,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 267,SINGLE SIDED DVD-R DISC,32025573,4.14,5.7132,2
34,ACCESSORIES,MISC ACCESSORIES,Computer Accessories & Peripherals,Vendor 30,S. SURGE PROT,C2008,27.37,32.2966,3
35,ACCESSORIES,MISC ACCESSORIES,Small Appliance Accesories,Vendor 414,VACUUM CLEANER BELT,40201030,1.65,1.8315,2
36,ACCESSORIES,MISC ACCESSORIES,TV & Home Theater Accesories,Vendor 176,VHS CAM KIT,29970,19.32,21.8316,4
37,ACCESSORIES,MISC ACCESSORIES,TV & Home Theater Accesories,Vendor 345,ACCESSORY,MBAA18004,13.98,18.4536,1
38,ACCESSORIES,MISC ACCESSORIES,TV & Home Theater Accesories,Vendor 345,ACCESSORY,MPHTS400HP,46.53,65.6073,4
39,BEDDING,BEDDING,Bases,Vendor 207,ICOMFORT QUEEN ADJ BASE,820019950,1037,1202.92,51
40,BEDDING,BEDDING,Bases,Vendor 207,ICOMFORT TWIN XL ADJ BASE,820019920,976,1229.76,74
41,BEDDING,BEDDING,Box Springs,Vendor 207,ICOMFORT FULL BOX SPRING,823099530,122,170.8,45
42,BEDDING,BEDDING,Box Springs,Vendor 207,ICOMFORT KING BOX SPRING,823099560,97.6,109.312,74
43,BEDDING,BEDDING,Box Springs,Vendor 207,ICOMFORT QUEEN BOX SPRING,823099550,134.2,191.906,54
44,BEDDING,BEDDING,Box Springs,Vendor 207,LOW PROFILE FULL BOX,190099730,185.01,247.9134,47
45,BEDDING,BEDDING,Box Springs,Vendor 207,PERFECT SLEEPER QUEEN BOX,190099550,233.33,307.9956,38
46,BEDDING,BEDDING,Box Springs,Vendor 207,SACHET FULL BOX SPRING,761199530,125.64,167.1012,54
47,BEDDING,BEDDING,Box Springs,Vendor 207,SERTA FULL BOX SPRING,13099530,103.7,116.144,84
48,BEDDING,BEDDING,Box Springs,Vendor 207,SERTA KING BASE,13099560,85.4,126.392,70
49,BEDDING,BEDDING,Box Springs,Vendor 207,SERTA QUEEN BASE,13099550,115.9,158.783,38
50,BEDDING,BEDDING,Box Springs,Vendor 207,SERTA TN BOX SPRING,13099510,85.4,127.246,34
51,BEDDING,BEDDING,Box Springs,Vendor 207,SP OR ICOMFORT BOX - TW,823099510,91.5,108.885,68
52,BEDDING,BEDDING,Box Springs,Vendor 207,SP ORD ICOMFORT CAL KING,823099570,97.6,119.072,29
53,BEDDING,BEDDING,Box Springs,Vendor 207,SP ORD LOW PROFILE,213699730,120.78,167.8842,82
54,BEDDING,BEDDING,Box Springs,Vendor 207,SPONGEBOB FULL BOX SPRING,330099530,100.04,123.0492,40
55,BEDDING,BEDDING,Box Springs,Vendor 207,SPONGEBOB TWIN BOX SPRING,330099510,80.52,112.728,54
56,BEDDING,BEDDING,Box Springs,Vendor 37,CELEBRITY QUEEN BOX,CELQB,68.72,101.0184,32
57,BEDDING,BEDDING,Box Springs,Vendor 37,LEGEND KING BOX SPRINGS,LEGKB,24.3,31.347,30
58,BEDDING,BEDDING,Box Springs,Vendor 403,FULL BOX  SPRING AIR,101597030,74.98,83.9776,100
59,BEDDING,BEDDING,Box Springs,Vendor 403,QUEEN BOX SPRING,108997050,85.62,97.6068,89
60,BEDDING,BEDDING,Box Springs,Vendor 403,QUEEN BOX SPRING AIR,101597050,75.04,94.5504,88
61,BEDDING,BEDDING,Foundations,Vendor 403,TWIN FOUNDATION,101597010,68.32,87.4496,93
62,BEDDING,BEDDING,Foundations,Vendor 65,COMFORTPEDIC FOUNDATION,B51010206220,176.6,224.282,76
63,BEDDING,BEDDING,Foundations,Vendor 65,LOW PROFILE QUEEN FOUND,L51010706220,175.5,249.21,66
64,BEDDING,BEDDING,Foundations,Vendor 716,DBL HP FOUNDATION,1210480,127.65,144.2445,21
65,BEDDING,BEDDING,Foundations,Vendor 716,TWIN LONG HP FOUNDATION,1210479,105.99,133.5474,73
66,BEDDING,BEDDING,Foundations,Vendor 777,CAL. KING SILVER FOUNDAT.,6070,49.41,65.7153,24
67,BEDDING,BEDDING,Foundations,Vendor 777,FULL FOUNDATION,49106030,50.91,71.274,69
68,BEDDING,BEDDING,Foundations,Vendor 777,KING FOUNDATION,49106020,47.95,69.048,77
69,BEDDING,BEDDING,Foundations,Vendor 777,KING FOUNDATION SILVER,6020,47.97,71.4753,30
70,BEDDING,BEDDING,Foundations,Vendor 777,QUEEN FOUNDATION,49106050,56.97,80.8974,47
71,BEDDING,BEDDING,Foundations,Vendor 777,QUEEN FOUNDATION SILVER,6050,57.69,64.6128,88
72,BEDDING,BEDDING,Foundations,Vendor 777,TWIN FOUNDATION,49106010,45.01,60.3134,31
73,BEDDING,BEDDING,Foundations,Vendor 809,"9"" HIGH PROFILE QUEEN BOX",366126050,69.25,87.9475,99
74,BEDDING,BEDDING,Mattresses,Vendor 207,ATHERTON FIRM KING,571351360,430.08,559.104,63
75,BEDDING,BEDDING,Mattresses,Vendor 207,ATHERTON FIRM QUEEN,571351350,315.89,473.835,30
76,BEDDING,BEDDING,Mattresses,Vendor 207,BRIDGET PLUSH KING MATT,30842360,805.2,1087.02,40
77,BEDDING,BEDDING,Mattresses,Vendor 207,BRIDGET PLUSH QUEEN MATT,30842350,616.1,868.701,43
78,BEDDING,BEDDING,Mattresses,Vendor 207,CERES FIRM QUEEN SPECIAL,573381350,149.49,165.9339,100
79,BEDDING,BEDDING,Mattresses,Vendor 207,CLARENDON HILLS KING ET,14046360,583.16,740.6132,20
80,BEDDING,BEDDING,Mattresses,Vendor 207,CLARENDON HILLS QN ET,14046350,455.06,536.9708,48
81,BEDDING,BEDDING,Mattresses,Vendor 207,CLOVERDALE VISCO KING SP,820278360,457.5,686.25,87
82,BEDDING,BEDDING,Mattresses,Vendor 207,CLOVERDALE VISCO QUEEN,820778350,370.35,470.3445,26
83,BEDDING,BEDDING,Mattresses,Vendor 207,CLOVERDALE VISCO QUEEN SP,820278350,366,549,44
84,BEDDING,BEDDING,Mattresses,Vendor 207,DEER CREEK VISCO KING,820268360,678.3,915.705,65
85,BEDDING,BEDDING,Mattresses,Vendor 207,DENTON EUROTOP QUEEN,545577350,86.72,107.5328,79
86,BEDDING,BEDDING,Mattresses,Vendor 207,DULCE ET KING MATTRESS,540456360,353.87,442.3375,69
87,BEDDING,BEDDING,Mattresses,Vendor 207,DULCE ET QUEEN MATTRESS,540456350,275.79,344.7375,36
88,BEDDING,BEDDING,Mattresses,Vendor 207,ENGSTROM KING SP,12823360,689.3,785.802,91
89,BEDDING,BEDDING,Mattresses,Vendor 207,ENGSTROM QUEEN SP,12823350,500.2,580.232,58
90,BEDDING,BEDDING,Mattresses,Vendor 207,FINESSE PLUSH QUEEN MATT,830372350,773.67,928.404,66
91,BEDDING,BEDDING,Mattresses,Vendor 207,FULL DULCE ET MATTRESS,540456330,263.53,371.5773,39
92,BEDDING,BEDDING,Mattresses,Vendor 207,FULL WALDEN PS MATTRESS,551362330,191.81,243.5987,34
93,BEDDING,BEDDING,Mattresses,Vendor 207,GREYTHORNE ESTATES KG MAT,32343360,872,1177.2,77
94,BEDDING,BEDDING,Mattresses,Vendor 207,GREYTHORNE ESTATES QN MAT,32343350,664.9,824.476,36
95,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT GENIUS KING MATT,821038360,945.5,1219.695,67
96,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT GENIUS QN MATT,821038350,762.5,876.875,45
97,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT GENIUS TWIN XL,821038320,591.7,710.04,76
98,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT INSIGHT CAL KING,821048370,780.8,1007.232,29
99,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT INSIGHT FULL MAT,821048330,506.3,693.631,56
100,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT INSIGHT KG MATT.,821048360,780.8,1054.08,64
101,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT INSIGHT QN MATT.,821048350,597.8,872.788,56
102,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT INSIGHT T XL MAT,821048320,427,538.02,80
103,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT PRODIGY KG MATT.,821018360,1311.5,1481.995,47
104,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT PRODIGY QN MATT.,821018350,1085.8,1498.404,75
105,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT PRODIGY TWXL MAT,821018320,915,1098,79
106,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT REV. TW XL MATT,821028320,701.78,1003.5454,100
107,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT REVOL. KG MATT.,821028360,1189.5,1784.25,36
108,BEDDING,BEDDING,Mattresses,Vendor 207,ICOMFORT REVOL. QN MATT.,821028350,963.8,1330.044,94
109,BEDDING,BEDDING,Mattresses,Vendor 207,INSPIRE QUEEN SUPER PT,270213350,865.2,994.98,63
110,BEDDING,BEDDING,Mattresses,Vendor 207,KG NORRIDGE ET MATTRESS,173546360,500.2,600.24,82
111,BEDDING,BEDDING,Mattresses,Vendor 207,KG SHUMAN PLUSH MATTRESS,173842360,433.1,580.354,27
112,BEDDING,BEDDING,Mattresses,Vendor 207,LANGHAM SPT KING MATTRESS,171933360,567.3,737.49,31
113,BEDDING,BEDDING,Mattresses,Vendor 207,LANGHAM SPT QUEEN MATT,171933350,439.2,654.408,50
114,BEDDING,BEDDING,Mattresses,Vendor 207,MERCER QUEEN EUROTOP,240936350,567.22,640.9586,100
115,BEDDING,BEDDING,Mattresses,Vendor 207,MONET ELITE FIRM KING,241141360,492.65,640.445,34
116,BEDDING,BEDDING,Mattresses,Vendor 207,MONET ELITE PLUSH QUEEN,241242350,372.26,532.3318,96
117,BEDDING,BEDDING,Mattresses,Vendor 207,PEARSON SPT KING,30733360,927.2,1270.264,76
118,BEDDING,BEDDING,Mattresses,Vendor 207,PEARSON SPT QUEEN,30733350,738.1,1070.245,93
119,BEDDING,BEDDING,Mattresses,Vendor 207,PEBBLESTONE ET QUEEN MATT,762236350,254.36,282.3396,63
120,BEDDING,BEDDING,Mattresses,Vendor 207,PERPTUAL VISCO FOAM QUEEN,830498350,680.75,755.6325,26
121,BEDDING,BEDDING,Mattresses,Vendor 207,QN NORRIDGE ET MATTRESS,173546350,372.1,513.498,75
122,BEDDING,BEDDING,Mattresses,Vendor 207,QN SHUMAN PLUSH MATTRESS,173842350,305,411.75,30
123,BEDDING,BEDDING,Mattresses,Vendor 207,QN WALDEN PLUSH MATTRESS,551362350,219.65,252.5975,75
124,BEDDING,BEDDING,Mattresses,Vendor 207,RUBY LANE FULL,573281330,145.4,206.468,29
125,BEDDING,BEDDING,Mattresses,Vendor 207,RUBY LANE KING,573281360,213.72,260.7384,33
126,BEDDING,BEDDING,Mattresses,Vendor 207,SPONGEBOB FULL MATTRESS,548281330,161.27,183.8478,26
127,BEDDING,BEDDING,Mattresses,Vendor 207,SPONGEBOB TWIN MATTRESS,548281310,122.04,175.7376,53
128,BEDDING,BEDDING,Mattresses,Vendor 207,TWIN DULCE ET MATTRESS,540456310,219.67,329.505,30
129,BEDDING,BEDDING,Mattresses,Vendor 207,TWIN WALDEN PLUSH,551362310,152.92,191.15,44
130,BEDDING,BEDDING,Mattresses,Vendor 207,VERNAL FULL MATT,765171330,129.76,167.3904,29
131,BEDDING,BEDDING,Mattresses,Vendor 207,VERNAL KING MATT,765171360,222.21,264.4299,64
132,BEDDING,BEDDING,Mattresses,Vendor 207,VERNAL QUEEN MATT,765171350,136.53,176.1237,98
133,BEDDING,BEDDING,Mattresses,Vendor 207,WYNDSOR QUEEN PILLOW SOFT,244232350,414.62,621.93,24
134,BEDDING,BEDDING,Mattresses,Vendor 403,CARSON PT KING MATTRESS,3108691060,509.89,759.7361,27
135,BEDDING,BEDDING,Mattresses,Vendor 403,CARSON PT QUEEN MATTRESS,3108691050,331.19,457.0422,40
136,BEDDING,BEDDING,Mattresses,Vendor 403,CATALINA QUEEN MATTRESS,108041050,221.26,294.2758,54
137,BEDDING,BEDDING,Mattresses,Vendor 403,CATALINA TWIN EXTRA LONG,108041020,187.04,215.096,76
138,BEDDING,BEDDING,Mattresses,Vendor 403,CATALINA TWIN-SPRING AIR,101501010,164.64,192.6288,71
139,BEDDING,BEDDING,Mattresses,Vendor 403,DELMAR QUEEN MATTRESS,108051050,289.96,434.94,36
140,BEDDING,BEDDING,Mattresses,Vendor 403,DELMAR QUEEN-SPRING AIR,101511050,254.25,371.205,89
141,BEDDING,BEDDING,Mattresses,Vendor 403,MONTERRY KING MATTRESS,108061060,432.32,562.016,43
142,BEDDING,BEDDING,Mattresses,Vendor 403,PEACEFUL ET QUEEN MATTRES,1308871050,265.37,350.2884,73
143,BEDDING,BEDDING,Mattresses,Vendor 403,STRATEGY QUEEN MATTRESS,1308071050,155.78,194.725,71
144,BEDDING,BEDDING,Mattresses,Vendor 65,BLANFORD PLSH QUEEN MATT,BLANQM,593.71,825.2569,28
145,BEDDING,BEDDING,Mattresses,Vendor 65,COMFORTPEDIC FULL MATTRES,M97500209999,961.2,1124.604,71
146,BEDDING,BEDDING,Mattresses,Vendor 65,CUNNINGHAM QUEEN PTOP,M140627412,432,626.4,40
147,BEDDING,BEDDING,Mattresses,Vendor 65,GINSBERG SUPER PT QUEEN,17847707402,600.26,696.3016,37
148,BEDDING,BEDDING,Mattresses,Vendor 65,MELNICK PLUSH ETOP QUEEN,16377707402,525.84,646.7832,88
149,BEDDING,BEDDING,Mattresses,Vendor 65,SURREY ULTRAPLUSH PTQUEEN,23036707404,846.43,1176.5377,84
150,BEDDING,BEDDING,Mattresses,Vendor 716,MATTRESS (SPEC ORDER ),10180120,488.4,615.384,65
151,BEDDING,BEDDING,Mattresses,Vendor 777,ANTIGUA KING MATTRESS,43201060,365.75,420.6125,93
152,BEDDING,BEDDING,Mattresses,Vendor 777,ANTIGUA QUEEN MATTRESS,43201050,278.31,411.8988,66
153,BEDDING,BEDDING,Mattresses,Vendor 777,BARCELONA KG MATT/ E/T,19151060,467.55,621.8415,36
154,BEDDING,BEDDING,Mattresses,Vendor 777,BARCELONA QN MATT/ E/T,19151050,379.22,466.4406,50
155,BEDDING,BEDDING,Mattresses,Vendor 777,CARRINGTON KG MATTRESS,2751060,435.94,501.331,52
156,BEDDING,BEDDING,Mattresses,Vendor 777,CARRINGTON QN MATTRESS,2751050,352.49,500.5358,84
157,BEDDING,BEDDING,Mattresses,Vendor 777,FIGI PT KING MATTRESS,19051060,433.3,610.953,29
158,BEDDING,BEDDING,Mattresses,Vendor 777,FIGI PT QUEEN MATTRESS,19051050,326.22,469.7568,45
159,BEDDING,BEDDING,Mattresses,Vendor 777,FIJI KING FIRM MATTRESS,19001060,433.73,511.8014,34
160,BEDDING,BEDDING,Mattresses,Vendor 777,FIJI QUEEN FIRM MATTRESS,19001050,325.87,381.2679,59
161,BEDDING,BEDDING,Mattresses,Vendor 777,KING MATTRESS DELMAR,47001060,323.3,433.222,81
162,BEDDING,BEDDING,Mattresses,Vendor 777,KING MATTRESS LAGUNA,47101060,538.96,598.2456,44
163,BEDDING,BEDDING,Mattresses,Vendor 777,KING MATTRESS SOLANA,47201060,657.12,933.1104,68
164,BEDDING,BEDDING,Mattresses,Vendor 777,MAUI TWIN MATTRESS,4111010,70.75,101.1725,39
165,BEDDING,BEDDING,Mattresses,Vendor 777,QUEEN MATTRESS DELMAR,47001050,242.78,364.17,74
166,BEDDING,BEDDING,Mattresses,Vendor 777,QUEEN MATTRESS LAGUNA,47101050,421.41,522.5484,20
167,BEDDING,BEDDING,Mattresses,Vendor 777,QUEEN MATTRESS SOLANA,47201050,543.27,695.3856,40
168,BEDDING,BEDDING,Mattresses,Vendor 777,ST CROIX MEM FOAM KING,47291060,853.92,982.008,68
169,BEDDING,BEDDING,Mattresses,Vendor 777,ST CROIX MEM FOAM QUEEN,47291050,704.79,972.6102,64
170,BEDDING,BEDDING,Mattresses,Vendor 777,TRINIDAD KING MATTRESS,43101060,297.68,401.868,86
171,BEDDING,BEDDING,Mattresses,Vendor 777,TRINIDAD QUEEN MATTRESS,43101050,220.82,273.8168,65
172,BEDDING,BEDDING,Mattresses,Vendor 809,GRACE KING PILLOWTOP,366141060,397.31,524.4492,55
173,BEDDING,BEDDING,Mattresses,Vendor 809,GRACE QUEEN PILLOWTOP,366141050,312.74,409.6894,59
174,BEDDING,BEDDING,Mattresses,Vendor 809,SUPREME FIRM KING MATT,352281060,188.83,271.9152,65
175,BEDDING,BEDDING,Mattresses,Vendor 809,SUPREME FIRM QUEEN MATT,352281050,144.39,170.3802,20
176,BEDDING,BEDDING,Mattresses,Vendor 809,SUPREME PLUSH QUEEN MATT,352291050,217.19,323.6131,79
177,BEDDING,BEDDING ACCESS,BedFrames,Vendor 202,KING FRAME,806R-FRAME,45.86,51.3632,189
178,BEDDING,BEDDING ACCESS,BedFrames,Vendor 202,QUEEN FRAME,Q45R,27.57,30.8784,199
179,BEDDING,BEDDING ACCESS,BedFrames,Vendor 202,QUEEN/KING BED FRAME,SF56R,66.91,78.9538,133
180,BEDDING,BEDDING ACCESS,BedFrames,Vendor 202,SUPER BED FRAME,SF34R,33.7,48.528,127
181,BEDDING,BEDDING ACCESS,BedFrames,Vendor 202,TWIN-FULL FRAME,79RS,22.86,27.2034,147
182,BEDDING,BEDDING ACCESS,Mattress Pads,Vendor 193,MOSIAC NATURAL,Q042005Q,117.92,172.1632,8
183,BEDDING,BEDDING ACCESS,Mattress Pads,Vendor 193,ROBERTA MING,Q020135Q,360.97,476.4804,25
184,BEDDING,BEDDING ACCESS,Pillows,Vendor 207,CONTOUR PILLOW,828999,61,79.91,15
185,BEDDING,BEDDING ACCESS,Pillows,Vendor 207,SCRUNTCH PILLOW,829999,48.8,65.88,17
186,BEDDING,BEDDING ACCESS,Pillows,Vendor 716,COMFORT PILLOW,180654,76.95,103.113,21
187,BEDDING,BEDDING ACCESS,Pillows,Vendor 716,SMALL NECK PILLOW,1210763,55.22,61.2942,12
188,BEDDING,BEDDING ACCESS,Pillows,Vendor 716,SYMPHONY PILLOW,15390115,58.16,77.3528,7
189,BEDDING,BEDDING ACCESS,Pillows,Vendor 716,THE COMFORT PILLOW,180650,69.78,83.736,22
190,BEDDING,BEDDING ACCESS,Protectors,Vendor 207,INTRNL TCH STD VSC PILLOW,SERTAMOLDEDP,73.72,103.9452,6
191,BEDDING,BEDDING ACCESS,Protectors,Vendor 716,TWIN MATTRESS PROTECTOR,45703110,33.6,46.032,21
192,BEDDING,COMFORTER SETS,Comforters,Vendor 193,QUEEN LENNOX SPA COMFORTE,Q144005Q,101.5,146.16,13
193,BEDDING,COMFORTER SETS,Comforters,Vendor 827,BELLA FLORAL KING COM. ST,36852K,99.72,127.6416,8
194,BEDDING,COMFORTER SETS,Comforters,Vendor 827,BELLA FLORAL QUEEN COM.ST,36852Q,89.99,114.2873,12
195,BEDDING,COMFORTER SETS,Comforters,Vendor 827,GRAMMERCY PARK KING COMF.,36855K,99.72,133.6248,21
196,BEDDING,COMFORTER SETS,Comforters,Vendor 827,GRAMMERCY PARK QUEEN COMF,36855Q,91.21,124.0456,15
197,BEDDING,COMFORTER SETS,Comforters,Vendor 827,MAZE BLACK KING COMF. SET,36851K,87.55,105.9355,6
198,BEDDING,COMFORTER SETS,Comforters,Vendor 827,MAZE BLACK QUEEN COM. SET,36851Q,80.24,90.6712,16
199,BEDDING,COMFORTER SETS,Comforters,Vendor 827,RIBBON PLAID KING COM. ST,36858K,93.64,139.5236,25
200,BEDDING,COMFORTER SETS,Comforters,Vendor 827,RIBBON PLAID QUEEN COM.ST,36858Q,86.33,120.862,21
201,BEDDING,COMFORTER SETS,Comforters,Vendor 827,RIVER STRIPE KING COM. ST,36860K,89.99,117.8869,8
202,BEDDING,COMFORTER SETS,Comforters,Vendor 827,RIVER STRIPE QUEEN COM.ST,36860Q,82.68,91.7748,24
203,BEDDING,COMFORTER SETS,Comforters,Vendor 827,VILLA NOVA RED KING COMF.,36492K,93.64,139.5236,21
204,BEDDING,COMFORTER SETS,Comforters,Vendor 827,VILLA NOVA RED QUEEN COMF,36492Q,87.55,112.064,10
205,BEDDING,HEADBOARDS,Headboards,Vendor 194,FENTON HEADBOARD & FOOT,B40755,121.17,157.521,20
206,BEDDING,HEADBOARDS,Headboards,Vendor 194,KAITLYN IRON HEADBOARD-T,B95W23,77.36,105.2096,6
207,BEDDING,HEADBOARDS,Headboards,Vendor 194,KENSINGTON HDBD/FTBD,B90M45,193.25,229.9675,22
208,BEDDING,HEADBOARDS,Headboards,Vendor 412,"FULL H/B ""MARIPOSA""",F01,104.9,116.439,17
209,BEDDING,HEADBOARDS,Headboards,Vendor 412,"FULL H/B ""SILVERLAKE""",885,48.95,68.0405,16
210,BEDDING,HEADBOARDS,Headboards,Vendor 412,"KING H/B ""NEWBURY""",976074,146.85,215.8695,15
211,BEDDING,HEADBOARDS,Headboards,Vendor 412,"KING H/B ""SILVERLAKE""",887,62.94,88.116,25
212,BEDDING,HEADBOARDS,Headboards,Vendor 412,"QUEEN H/B ""SILVERLAKE""",886,52.46,66.6242,21
213,FURNITURE,ACCENT FURNITURE,Privacy Screens,Vendor 201,BLACK & WHITE SCREEN,2003BK,39.72,54.0192,1
214,FURNITURE,ACCENT FURNITURE,Privacy Screens,Vendor 201,CHERRY & WHITE SCREEN,2003CH,39.72,46.4724,2
215,FURNITURE,ACCENT FURNITURE,Privacy Screens,Vendor 791,MTL STANDING MIR,80031,144.56,173.472,1
216,FURNITURE,ACCENT FURNITURE,Privacy Screens,Vendor 791,WD 4 PANEL SCREEN 71H72W,58846,98.02,135.2676,4
217,FURNITURE,BEDROOM,Bed Rails,Vendor 193,PHEASANT RUN KING RAILS,B45299,89.34,100.0608,10
218,FURNITURE,BEDROOM,Bed Rails,Vendor 200,MILANO KING RAILS,1030BRK,53.71,62.3036,10
219,FURNITURE,BEDROOM,Bed Rails,Vendor 200,ST JOHN KING RAILS,1014BRK,68.28,99.6888,10
220,FURNITURE,BEDROOM,Bed Rails,Vendor 200,ST JOHN QUEEN RAILS,1014BRQ,68.22,75.7242,10
221,FURNITURE,BEDROOM,Benches,Vendor 193,PENNINGTON BENCH,B60909,188.05,210.616,70
222,FURNITURE,BEDROOM,Chests,Vendor 193,CAMDYN COTTAGE MEDIA CHES,B50639,297.99,390.3669,135
223,FURNITURE,BEDROOM,Chests,Vendor 193,CHERRY ARMOIRE,B25849,247.19,304.0437,110
224,FURNITURE,BEDROOM,Chests,Vendor 200,DAYDREAM 5 DRAWER CHEST,2805,120.36,167.3004,54
225,FURNITURE,BEDROOM,Chests,Vendor 200,EXPRESSO 5 DRAWER CHEST,X526R,80,105.6,129
226,FURNITURE,BEDROOM,Chests,Vendor 200,MARIGRACE CHEST,12405,132.77,185.878,54
227,FURNITURE,BEDROOM,Chests,Vendor 200,SHILOH 5 DR CHEST,19205,81.26,99.1372,99
228,FURNITURE,BEDROOM,Chests,Vendor 200,ST JOHN 5-DRAWER CHEST,101405,415.58,465.4496,108
